"","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"32","female",1986,30,"middle",5,NA,"no",314,"비서 및 사무 보조원",170,1,"서울"
"33","female",1962,54,"middle",1,"marriage","no",941,"청소원 및 환경 미화원",120,1,"서울"
"34","female",1985,31,"middle",4,NA,"no",314,"비서 및 사무 보조원",120,1,"서울"
"35","male",1952,64,"old",1,"marriage","no",773,"건축마감관련 기능 종사자",200,1,"서울"
"36","female",1961,55,"middle",3,"divorce","yes",951,"가사 및 육아 도우미",NA,1,"서울"
"37","female",1982,34,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"38","male",1968,48,"middle",5,NA,"no",274,"기술영업 및 중개 관련 종사자",NA,7,"광주/전남/전북/제주도"
"39","male",1971,45,"middle",3,"divorce","no",873,"자동차 운전원",250,7,"광주/전남/전북/제주도"
"40","female",1945,71,"old",2,NA,"yes",NA,NA,NA,7,"광주/전남/전북/제주도"
"41","male",1943,73,"old",2,NA,"no",NA,NA,NA,1,"서울"
"42","female",1930,86,"old",2,NA,"no",NA,NA,NA,1,"서울"
"43","female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"44","male",1937,79,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"45","female",1945,71,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"46","male",1975,41,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"47","male",1972,44,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"48","female",1974,42,"middle",1,"marriage","yes",320,"금융 및 보험관련 사무 종사자",417,1,"서울"
"49","female",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"50","female",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"51","male",1980,36,"middle",5,NA,"no",952,"음식관련 단순 종사원",150,1,"서울"
"52","female",1954,62,"old",3,"divorce","no",NA,NA,NA,1,"서울"
"53","female",1941,75,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"54","male",1966,50,"middle",1,"marriage","yes",312,"경영관련 사무원",400,1,"서울"
"55","female",1974,42,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"56","male",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"57","female",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"58","male",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"59","male",1955,61,"old",1,"marriage","no",151,"판매 및 운송 관리자",NA,1,"서울"
"60","female",1961,55,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"61","female",1983,33,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"62","male",1985,31,"middle",5,NA,"no",152,"고객서비스 관리자",190,1,"서울"
"63","female",1927,89,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"64","female",1936,80,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"65","male",1972,44,"middle",1,"marriage","no",312,"경영관련 사무원",217,1,"서울"
"66","female",1973,43,"middle",1,"marriage","no",314,"비서 및 사무 보조원",100,1,"서울"
"67","male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"68","male",1926,90,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"69","female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"70","male",1968,48,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"71","female",1940,76,"old",2,NA,"no",NA,NA,NA,1,"서울"
"72","female",1982,34,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"73","male",1976,40,"middle",1,"marriage","no",772,"건설관련 기능 종사자",NA,2,"수도권(인천/경기)"
"74","male",2010,6,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"75","female",2012,4,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"76","female",1937,79,"old",3,"divorce","yes",941,"청소원 및 환경 미화원",20,1,"서울"
"77","female",1942,74,"old",2,NA,"no",NA,NA,NA,1,"서울"
"78","male",1973,43,"middle",1,"marriage","no",510,"영업 종사자",274.2,1,"서울"
"79","female",1974,42,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"80","female",2009,7,"young",0,NA,"no",NA,NA,NA,1,"서울"
"81","female",1939,77,"old",2,NA,"no",NA,NA,NA,1,"서울"
"82","male",1959,57,"middle",1,"marriage","no",852,"냉 난방 관련 설비 조작원",179.9,1,"서울"
"83","female",1967,49,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"84","female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"85","female",1998,18,"young",0,NA,"no",NA,NA,NA,1,"서울"
"86","male",1955,61,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"87","female",1958,58,"middle",1,"marriage","yes",442,"음식서비스 종사자",100,1,"서울"
"88","male",1982,34,"middle",5,NA,"yes",530,"방문 노점 및 통신 판매 관련 종사자",180,1,"서울"
"89","male",1968,48,"middle",1,"marriage","yes",312,"경영관련 사무원",885,1,"서울"
"90","female",1970,46,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"91","male",1994,22,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"92","male",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"93","male",1973,43,"middle",1,"marriage","yes",312,"경영관련 사무원",583.3,1,"서울"
"94","female",1975,41,"middle",1,"marriage","yes",521,"매장 판매 종사자",30,1,"서울"
"95","male",2004,12,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"96","female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"97","male",1950,66,"old",1,"marriage","yes",991,"농립어업관련 단순 종사원",248.5,5,"대전/충남"
"98","female",1956,60,"old",1,"marriage","yes",991,"농립어업관련 단순 종사원",NA,5,"대전/충남"
"99","male",1930,86,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"100","female",1938,78,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"101","female",1962,54,"middle",3,"divorce","yes",422,"이 미용 및 관련 서비스 종사자",156.4,1,"서울"
"102","female",1991,25,"young",5,NA,"yes",422,"이 미용 및 관련 서비스 종사자",100,1,"서울"
"103","male",1955,61,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"104","female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"105","female",1989,27,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"106","female",1995,21,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"107","female",1997,19,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"108","female",1982,34,"middle",5,NA,"yes",313,"회계 및 경리 사무원",200,5,"대전/충남"
"109","female",1985,31,"middle",5,NA,"yes",710,"식품가공관련 기능 종사자",216.66,5,"대전/충남"
"110","female",1957,59,"middle",4,NA,"no",999,"기타 서비스관련 단순 종사원",291.1,5,"대전/충남"
"111","female",1982,34,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"112","female",1986,30,"middle",5,NA,"no",522,"상품 대여 종사자",120,1,"서울"
"113","male",1973,43,"middle",1,"marriage","no",399,"고객 상담 및 기타 사무원",NA,1,"서울"
"114","male",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"115","female",2012,4,"young",0,NA,"no",NA,NA,NA,1,"서울"
"116","female",1955,61,"old",4,NA,"no",NA,NA,NA,1,"서울"
"117","male",1975,41,"middle",5,NA,"no",753,"기계장비 설치 및 정비원",218.2,1,"서울"
"118","male",1947,69,"old",1,"marriage","yes",851,"금속공작기계 조작원",140,1,"서울"
"119","female",1956,60,"old",1,"marriage","yes",521,"매장 판매 종사자",161,1,"서울"
"120","male",1980,36,"middle",5,NA,"yes",235,"전기 전자 및 기계 공학 기술자 및 시험원",511.7,1,"서울"
"121","male",1954,62,"old",1,"marriage","yes",773,"건축마감관련 기능 종사자",NA,1,"서울"
"122","female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"123","male",1978,38,"middle",5,NA,"yes",231,"건축 및 토목 공학 기술자 및 시험원",421,1,"서울"
"124","female",1983,33,"middle",5,NA,"yes",313,"회계 및 경리 사무원",158,1,"서울"
"125","male",1981,35,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"126","male",1966,50,"middle",1,"marriage","no",311,"행정 사무원",416.7,1,"서울"
"127","female",1971,45,"middle",1,"marriage","no",254,"문리 기술 및 예능 강사",20,1,"서울"
"128","male",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"129","female",1999,17,"young",0,NA,"no",NA,NA,NA,1,"서울"
"130","female",1928,88,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"131","female",1946,70,"old",2,NA,"no",NA,NA,NA,1,"서울"
"132","male",1970,46,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"133","male",1965,51,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",155,1,"서울"
"134","female",1968,48,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",120,1,"서울"
"135","female",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"136","female",2001,15,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"137","male",1958,58,"middle",1,"marriage","yes",772,"건설관련 기능 종사자",272,1,"서울"
"138","female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"139","male",1988,28,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"140","male",1991,25,"young",5,NA,"yes",999,"기타 서비스관련 단순 종사원",91.4,1,"서울"
"141","female",1985,31,"middle",5,NA,"yes",953,"판매관련 단순 종사원",160,1,"서울"
"142","male",1960,56,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",234.2,1,"서울"
"143","female",1960,56,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",110,1,"서울"
"144","male",1987,29,"young",1,"marriage","yes",863,"전기 전자 부품 및 제품 제조장치 조작원",229.2,2,"수도권(인천/경기)"
"145","female",1989,27,"young",5,NA,"yes",521,"매장 판매 종사자",120,1,"서울"
"146","female",1986,30,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"147","male",2013,3,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"148","male",1961,55,"middle",3,"divorce","no",910,"건설 및 광업 단순 종사원",150,2,"수도권(인천/경기)"
"149","female",1992,24,"young",5,NA,"no",392,"여행 안내 및 접수 사무원",122,2,"수도권(인천/경기)"
"150","female",1996,20,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"151","female",1933,83,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"152","male",1967,49,"middle",3,"divorce","no",521,"매장 판매 종사자",NA,1,"서울"
"153","female",1994,22,"young",5,NA,"no",NA,NA,NA,1,"서울"
"154","female",1941,75,"old",2,NA,"no",NA,NA,NA,1,"서울"
"155","male",1934,82,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"156","female",1937,79,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"157","male",1956,60,"old",1,"marriage","yes",151,"판매 및 운송 관리자",NA,1,"서울"
"158","female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"159","male",1985,31,"middle",5,NA,"yes",510,"영업 종사자",312,1,"서울"
"160","male",1986,30,"middle",5,NA,"yes",254,"문리 기술 및 예능 강사",NA,1,"서울"
"161","female",2004,12,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"162","male",1935,81,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"163","female",1941,75,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"164","male",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"165","female",1940,76,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"166","male",1957,59,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",309.6,1,"서울"
"167","female",1960,56,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"168","male",1983,33,"middle",5,NA,"no",761,"전기 및 전자기기 설치 및 수리원",191.3,1,"서울"
"169","male",1950,66,"old",1,"marriage","no",873,"자동차 운전원",238,1,"서울"
"170","female",1953,63,"old",1,"marriage","no",951,"가사 및 육아 도우미",158,1,"서울"
"171","male",1962,54,"middle",1,"marriage","no",510,"영업 종사자",240,1,"서울"
"172","female",1963,53,"middle",1,"marriage","yes",922,"배달원",85,1,"서울"
"173","female",1989,27,"young",5,NA,"yes",285,"디자이너",172,1,"서울"
"174","male",1959,57,"middle",1,"marriage","no",875,"건설 및 채굴 기계운전원",NA,1,"서울"
"175","female",1961,55,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"176","male",1986,30,"middle",5,NA,"no",231,"건축 및 토목 공학 기술자 및 시험원",316.7,1,"서울"
"177","female",1990,26,"young",5,NA,"no",312,"경영관련 사무원",200,1,"서울"
"178","male",1954,62,"old",1,"marriage","no",862,"전기 및 전자 설비 조작원",166,1,"서울"
"179","female",1955,61,"old",1,"marriage","no",421,"의료 복지 관련 서비스 종사자",100.6,1,"서울"
"180","female",1989,27,"young",5,NA,"no",243,"간호사",191.7,1,"서울"
"181","male",1971,45,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"182","female",1977,39,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"183","female",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"184","male",2002,14,"young",0,NA,"no",NA,NA,NA,1,"서울"
"185","male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"186","female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"187","male",1949,67,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"188","female",1954,62,"old",1,"marriage","yes",521,"매장 판매 종사자",NA,1,"서울"
"189","male",1978,38,"middle",1,"marriage","yes",311,"행정 사무원",345,2,"수도권(인천/경기)"
"190","female",1982,34,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"191","female",2014,2,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"192","male",1942,74,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"193","female",1949,67,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"194","male",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"195","male",1998,18,"young",0,NA,"no",NA,NA,NA,1,"서울"
"196","female",1980,36,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"197","male",1975,41,"middle",1,"marriage","no",223,"정보 시스템 운영자",634.2,1,"서울"
"198","female",1974,42,"middle",1,"marriage","no",252,"학교 교사",400,1,"서울"
"199","female",2006,10,"young",0,NA,"no",NA,NA,NA,1,"서울"
"200","female",2008,8,"young",0,NA,"no",NA,NA,NA,1,"서울"
"201","female",2011,5,"young",0,NA,"no",NA,NA,NA,1,"서울"
"202","female",1957,59,"middle",3,"divorce","yes",421,"의료 복지 관련 서비스 종사자",106.5,1,"서울"
"203","female",1943,73,"old",2,NA,"yes",941,"청소원 및 환경 미화원",57,1,"서울"
"204","male",1973,43,"middle",5,NA,"yes",521,"매장 판매 종사자",268.8,1,"서울"
"205","male",1960,56,"middle",1,"marriage","yes",761,"전기 및 전자기기 설치 및 수리원",397.5,1,"서울"
"206","female",1966,50,"middle",1,"marriage","yes",510,"영업 종사자",625,1,"서울"
"207","female",1991,25,"young",5,NA,"yes",254,"문리 기술 및 예능 강사",180,1,"서울"
"208","female",1992,24,"young",1,"marriage","yes",NA,NA,NA,1,"서울"
"209","female",1943,73,"old",2,NA,"no",NA,NA,NA,1,"서울"
"210","female",1924,92,"old",2,NA,"no",NA,NA,NA,1,"서울"
"211","female",1971,45,"middle",1,"marriage","yes",259,"기타 교육 전문가",109.7,1,"서울"
"212","female",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"213","female",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"214","male",1968,48,"middle",1,"marriage","no",771,"건설구조관련 기능 종사자",220.3,1,"서울"
"215","male",1958,58,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",276.3,1,"서울"
"216","female",1958,58,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",123.2,1,"서울"
"217","male",1986,30,"middle",1,"marriage","no",135,"정보통신관련 관리자",167.5,1,"서울"
"218","male",1984,32,"middle",5,NA,"yes",245,"치료사 및 의료기사",231,1,"서울"
"219","female",1984,32,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"220","male",2013,3,"young",0,NA,"no",NA,NA,NA,1,"서울"
"221","male",1966,50,"middle",1,"marriage","yes",862,"전기 및 전자 설비 조작원",428.7,1,"서울"
"222","female",1968,48,"middle",1,"marriage","yes",399,"고객 상담 및 기타 사무원",60,1,"서울"
"223","male",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"224","male",1974,42,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",247,1,"서울"
"225","female",1973,43,"middle",1,"marriage","no",930,"제조관련 단순 종사원",131.8,1,"서울"
"226","female",2003,13,"young",0,NA,"no",NA,NA,NA,1,"서울"
"227","male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"228","male",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"229","female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"230","female",1984,32,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"231","male",1986,30,"middle",5,NA,"yes",312,"경영관련 사무원",220,1,"서울"
"232","male",1960,56,"middle",1,"marriage","no",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"233","female",1960,56,"middle",1,"marriage","yes",521,"매장 판매 종사자",120,1,"서울"
"234","male",1988,28,"young",5,NA,"no",NA,NA,NA,1,"서울"
"235","male",1985,31,"middle",5,NA,"no",221,"컴퓨터 하드웨어 및 통신공학 전문가",393.3,1,"서울"
"236","female",1960,56,"middle",4,NA,"yes",951,"가사 및 육아 도우미",108,1,"서울"
"237","male",1987,29,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"238","female",1943,73,"old",4,NA,"yes",941,"청소원 및 환경 미화원",73,1,"서울"
"239","female",1971,45,"middle",5,NA,"no",422,"이 미용 및 관련 서비스 종사자",234,1,"서울"
"240","male",1959,57,"middle",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"241","female",1965,51,"middle",1,"marriage","no",930,"제조관련 단순 종사원",NA,1,"서울"
"242","male",1987,29,"young",5,NA,"no",NA,NA,NA,1,"서울"
"243","female",1988,28,"young",5,NA,"no",NA,NA,NA,1,"서울"
"244","male",1938,78,"old",3,"divorce","yes",941,"청소원 및 환경 미화원",NA,1,"서울"
"245","female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"246","male",1964,52,"middle",5,NA,"yes",751,"자동차 정비원",205,1,"서울"
"247","male",1969,47,"middle",1,"marriage","no",312,"경영관련 사무원",251,1,"서울"
"248","female",1977,39,"middle",1,"marriage","no",314,"비서 및 사무 보조원",140,1,"서울"
"249","female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"250","female",2006,10,"young",0,NA,"no",NA,NA,NA,1,"서울"
"251","male",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"252","female",1971,45,"middle",1,"marriage","no",312,"경영관련 사무원",275,2,"수도권(인천/경기)"
"253","male",1966,50,"middle",1,"marriage","yes",251,"대학 교수 및 강사",145.8,2,"수도권(인천/경기)"
"254","male",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"255","male",1965,51,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"256","female",1958,58,"middle",3,"divorce","yes",521,"매장 판매 종사자",190,1,"서울"
"257","male",1987,29,"young",5,NA,"yes",399,"고객 상담 및 기타 사무원",150,1,"서울"
"258","male",1938,78,"old",2,NA,"no",NA,NA,NA,1,"서울"
"259","female",1942,74,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"260","male",1925,91,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"261","female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"262","female",1953,63,"old",2,NA,"yes",951,"가사 및 육아 도우미",NA,1,"서울"
"263","male",1978,38,"middle",1,"marriage","yes",753,"기계장비 설치 및 정비원",408,1,"서울"
"264","male",1979,37,"middle",5,NA,"yes",141,"건설 전기 및 생산 관련 관리자",500,1,"서울"
"265","female",1979,37,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"266","male",2009,7,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"267","male",2011,5,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"268","female",1946,70,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"269","male",1957,59,"middle",5,NA,"no",941,"청소원 및 환경 미화원",52.8,1,"서울"
"270","female",1934,82,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"271","male",1972,44,"middle",1,"marriage","no",722,"의복 제조관련 기능 종사자",238.3,1,"서울"
"272","female",1965,51,"middle",1,"marriage","no",930,"제조관련 단순 종사원",114.2,1,"서울"
"273","male",1999,17,"young",0,NA,"no",NA,NA,NA,1,"서울"
"274","female",1958,58,"middle",1,"marriage","yes",422,"이 미용 및 관련 서비스 종사자",NA,1,"서울"
"275","female",1983,33,"middle",1,"marriage","no",320,"금융 및 보험관련 사무 종사자",NA,2,"수도권(인천/경기)"
"276","male",1984,32,"middle",1,"marriage","no",761,"전기 및 전자기기 설치 및 수리원",266.7,2,"수도권(인천/경기)"
"277","male",1955,61,"old",1,"marriage","yes",773,"건축마감관련 기능 종사자",NA,1,"서울"
"278","male",1975,41,"middle",1,"marriage","no",246,"보건의료관련 종사자",341.6,2,"수도권(인천/경기)"
"279","female",1984,32,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"280","male",2014,2,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"281","female",2013,3,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"282","male",1945,71,"old",3,"divorce","no",942,"경비원 및 검표원",220.2,1,"서울"
"283","female",1982,34,"middle",5,NA,"yes",289,"매니저 및 기타 문화 예술 관련 종사자",194.3,1,"서울"
"284","female",1957,59,"middle",2,NA,"yes",951,"가사 및 육아 도우미",NA,1,"서울"
"285","female",1979,37,"middle",1,"marriage","no",320,"금융 및 보험관련 사무 종사자",130,1,"서울"
"286","male",1975,41,"middle",1,"marriage","no",231,"건축 및 토목 공학 기술자 및 시험원",416.6,1,"서울"
"287","male",2012,4,"young",0,NA,"no",NA,NA,NA,1,"서울"
"288","male",1932,84,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"289","female",1940,76,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"290","male",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"291","female",1964,52,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",192,1,"서울"
"292","female",1989,27,"young",5,NA,"yes",254,"문리 기술 및 예능 강사",583.3,1,"서울"
"293","female",1990,26,"young",5,NA,"yes",243,"간호사",260,1,"서울"
"294","male",1952,64,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"295","male",1952,64,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"296","female",1950,66,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"297","female",1980,36,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"298","male",1972,44,"middle",1,"marriage","yes",281,"작가 기자 및 출판 전문가",420.6,1,"서울"
"299","female",1976,40,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"300","female",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"301","female",2005,11,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"302","female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"303","male",1959,57,"middle",1,"marriage","yes",741,"금형 주조 및 단조원",313.3,1,"서울"
"304","female",1962,54,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",126,1,"서울"
"305","female",1986,30,"middle",5,NA,"yes",243,"간호사",233,1,"서울"
"306","female",1989,27,"young",5,NA,"yes",289,"매니저 및 기타 문화 예술 관련 종사자",166.7,1,"서울"
"307","male",1967,49,"middle",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"308","female",1968,48,"middle",1,"marriage","no",422,"이 미용 및 관련 서비스 종사자",NA,1,"서울"
"309","female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"310","male",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"311","male",1973,43,"middle",1,"marriage","yes",312,"경영관련 사무원",416,1,"서울"
"312","female",1976,40,"middle",1,"marriage","yes",313,"회계 및 경리 사무원",140,1,"서울"
"313","male",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"314","male",1973,43,"middle",1,"marriage","no",312,"경영관련 사무원",358,1,"서울"
"315","female",1973,43,"middle",1,"marriage","no",313,"회계 및 경리 사무원",110,1,"서울"
"316","female",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"317","male",2002,14,"young",0,NA,"no",NA,NA,NA,1,"서울"
