"","X","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"56",56,"male",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"58",58,"male",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"59",59,"male",1955,61,"old",1,"marriage","no",151,"판매 및 운송 관리자",NA,1,"서울"
"62",62,"male",1985,31,"middle",5,NA,"no",152,"고객서비스 관리자",190,1,"서울"
"65",65,"male",1972,44,"middle",1,"marriage","no",312,"경영관련 사무원",217,1,"서울"
"67",67,"male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"68",68,"male",1926,90,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"70",70,"male",1968,48,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"73",73,"male",1976,40,"middle",1,"marriage","no",772,"건설관련 기능 종사자",NA,2,"수도권(인천/경기)"
"74",74,"male",2010,6,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"78",78,"male",1973,43,"middle",1,"marriage","no",510,"영업 종사자",274.2,1,"서울"
"82",82,"male",1959,57,"middle",1,"marriage","no",852,"냉 난방 관련 설비 조작원",179.9,1,"서울"
"86",86,"male",1955,61,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"88",88,"male",1982,34,"middle",5,NA,"yes",530,"방문 노점 및 통신 판매 관련 종사자",180,1,"서울"
"89",89,"male",1968,48,"middle",1,"marriage","yes",312,"경영관련 사무원",885,1,"서울"
"91",91,"male",1994,22,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"92",92,"male",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"93",93,"male",1973,43,"middle",1,"marriage","yes",312,"경영관련 사무원",583.3,1,"서울"
"95",95,"male",2004,12,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"97",97,"male",1950,66,"old",1,"marriage","yes",991,"농립어업관련 단순 종사원",248.5,5,"대전/충남"
"99",99,"male",1930,86,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"103",103,"male",1955,61,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"113",113,"male",1973,43,"middle",1,"marriage","no",399,"고객 상담 및 기타 사무원",NA,1,"서울"
"114",114,"male",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"117",117,"male",1975,41,"middle",5,NA,"no",753,"기계장비 설치 및 정비원",218.2,1,"서울"
"118",118,"male",1947,69,"old",1,"marriage","yes",851,"금속공작기계 조작원",140,1,"서울"
"120",120,"male",1980,36,"middle",5,NA,"yes",235,"전기 전자 및 기계 공학 기술자 및 시험원",511.7,1,"서울"
"121",121,"male",1954,62,"old",1,"marriage","yes",773,"건축마감관련 기능 종사자",NA,1,"서울"
"123",123,"male",1978,38,"middle",5,NA,"yes",231,"건축 및 토목 공학 기술자 및 시험원",421,1,"서울"
"125",125,"male",1981,35,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"126",126,"male",1966,50,"middle",1,"marriage","no",311,"행정 사무원",416.7,1,"서울"
"128",128,"male",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"132",132,"male",1970,46,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"133",133,"male",1965,51,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",155,1,"서울"
"137",137,"male",1958,58,"middle",1,"marriage","yes",772,"건설관련 기능 종사자",272,1,"서울"
"139",139,"male",1988,28,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"140",140,"male",1991,25,"young",5,NA,"yes",999,"기타 서비스관련 단순 종사원",91.4,1,"서울"
"142",142,"male",1960,56,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",234.2,1,"서울"
"144",144,"male",1987,29,"young",1,"marriage","yes",863,"전기 전자 부품 및 제품 제조장치 조작원",229.2,2,"수도권(인천/경기)"
"147",147,"male",2013,3,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"148",148,"male",1961,55,"middle",3,"divorce","no",910,"건설 및 광업 단순 종사원",150,2,"수도권(인천/경기)"
"152",152,"male",1967,49,"middle",3,"divorce","no",521,"매장 판매 종사자",NA,1,"서울"
"155",155,"male",1934,82,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"157",157,"male",1956,60,"old",1,"marriage","yes",151,"판매 및 운송 관리자",NA,1,"서울"
"159",159,"male",1985,31,"middle",5,NA,"yes",510,"영업 종사자",312,1,"서울"
"160",160,"male",1986,30,"middle",5,NA,"yes",254,"문리 기술 및 예능 강사",NA,1,"서울"
"162",162,"male",1935,81,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"164",164,"male",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"166",166,"male",1957,59,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",309.6,1,"서울"
"168",168,"male",1983,33,"middle",5,NA,"no",761,"전기 및 전자기기 설치 및 수리원",191.3,1,"서울"
"169",169,"male",1950,66,"old",1,"marriage","no",873,"자동차 운전원",238,1,"서울"
"171",171,"male",1962,54,"middle",1,"marriage","no",510,"영업 종사자",240,1,"서울"
"174",174,"male",1959,57,"middle",1,"marriage","no",875,"건설 및 채굴 기계운전원",NA,1,"서울"
"176",176,"male",1986,30,"middle",5,NA,"no",231,"건축 및 토목 공학 기술자 및 시험원",316.7,1,"서울"
"178",178,"male",1954,62,"old",1,"marriage","no",862,"전기 및 전자 설비 조작원",166,1,"서울"
"181",181,"male",1971,45,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"184",184,"male",2002,14,"young",0,NA,"no",NA,NA,NA,1,"서울"
"185",185,"male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"187",187,"male",1949,67,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"189",189,"male",1978,38,"middle",1,"marriage","yes",311,"행정 사무원",345,2,"수도권(인천/경기)"
"192",192,"male",1942,74,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"194",194,"male",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"195",195,"male",1998,18,"young",0,NA,"no",NA,NA,NA,1,"서울"
"197",197,"male",1975,41,"middle",1,"marriage","no",223,"정보 시스템 운영자",634.2,1,"서울"
"204",204,"male",1973,43,"middle",5,NA,"yes",521,"매장 판매 종사자",268.8,1,"서울"
"205",205,"male",1960,56,"middle",1,"marriage","yes",761,"전기 및 전자기기 설치 및 수리원",397.5,1,"서울"
"214",214,"male",1968,48,"middle",1,"marriage","no",771,"건설구조관련 기능 종사자",220.3,1,"서울"
"215",215,"male",1958,58,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",276.3,1,"서울"
"217",217,"male",1986,30,"middle",1,"marriage","no",135,"정보통신관련 관리자",167.5,1,"서울"
"218",218,"male",1984,32,"middle",5,NA,"yes",245,"치료사 및 의료기사",231,1,"서울"
"220",220,"male",2013,3,"young",0,NA,"no",NA,NA,NA,1,"서울"
"221",221,"male",1966,50,"middle",1,"marriage","yes",862,"전기 및 전자 설비 조작원",428.7,1,"서울"
"223",223,"male",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"224",224,"male",1974,42,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",247,1,"서울"
"227",227,"male",2004,12,"young",0,NA,"no",NA,NA,NA,1,"서울"
"228",228,"male",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"231",231,"male",1986,30,"middle",5,NA,"yes",312,"경영관련 사무원",220,1,"서울"
"232",232,"male",1960,56,"middle",1,"marriage","no",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"234",234,"male",1988,28,"young",5,NA,"no",NA,NA,NA,1,"서울"
"235",235,"male",1985,31,"middle",5,NA,"no",221,"컴퓨터 하드웨어 및 통신공학 전문가",393.3,1,"서울"
"237",237,"male",1987,29,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"240",240,"male",1959,57,"middle",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"242",242,"male",1987,29,"young",5,NA,"no",NA,NA,NA,1,"서울"
"244",244,"male",1938,78,"old",3,"divorce","yes",941,"청소원 및 환경 미화원",NA,1,"서울"
"246",246,"male",1964,52,"middle",5,NA,"yes",751,"자동차 정비원",205,1,"서울"
"247",247,"male",1969,47,"middle",1,"marriage","no",312,"경영관련 사무원",251,1,"서울"
"251",251,"male",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"253",253,"male",1966,50,"middle",1,"marriage","yes",251,"대학 교수 및 강사",145.8,2,"수도권(인천/경기)"
"254",254,"male",2011,5,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"255",255,"male",1965,51,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"257",257,"male",1987,29,"young",5,NA,"yes",399,"고객 상담 및 기타 사무원",150,1,"서울"
"258",258,"male",1938,78,"old",2,NA,"no",NA,NA,NA,1,"서울"
"260",260,"male",1925,91,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"263",263,"male",1978,38,"middle",1,"marriage","yes",753,"기계장비 설치 및 정비원",408,1,"서울"
"264",264,"male",1979,37,"middle",5,NA,"yes",141,"건설 전기 및 생산 관련 관리자",500,1,"서울"
"266",266,"male",2009,7,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"267",267,"male",2011,5,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"269",269,"male",1957,59,"middle",5,NA,"no",941,"청소원 및 환경 미화원",52.8,1,"서울"
"271",271,"male",1972,44,"middle",1,"marriage","no",722,"의복 제조관련 기능 종사자",238.3,1,"서울"
"273",273,"male",1999,17,"young",0,NA,"no",NA,NA,NA,1,"서울"
"276",276,"male",1984,32,"middle",1,"marriage","no",761,"전기 및 전자기기 설치 및 수리원",266.7,2,"수도권(인천/경기)"
"277",277,"male",1955,61,"old",1,"marriage","yes",773,"건축마감관련 기능 종사자",NA,1,"서울"
"278",278,"male",1975,41,"middle",1,"marriage","no",246,"보건의료관련 종사자",341.6,2,"수도권(인천/경기)"
"280",280,"male",2014,2,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"282",282,"male",1945,71,"old",3,"divorce","no",942,"경비원 및 검표원",220.2,1,"서울"
"286",286,"male",1975,41,"middle",1,"marriage","no",231,"건축 및 토목 공학 기술자 및 시험원",416.6,1,"서울"
"287",287,"male",2012,4,"young",0,NA,"no",NA,NA,NA,1,"서울"
"288",288,"male",1932,84,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"290",290,"male",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"294",294,"male",1952,64,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"295",295,"male",1952,64,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"298",298,"male",1972,44,"middle",1,"marriage","yes",281,"작가 기자 및 출판 전문가",420.6,1,"서울"
"303",303,"male",1959,57,"middle",1,"marriage","yes",741,"금형 주조 및 단조원",313.3,1,"서울"
"307",307,"male",1967,49,"middle",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"310",310,"male",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"311",311,"male",1973,43,"middle",1,"marriage","yes",312,"경영관련 사무원",416,1,"서울"
"313",313,"male",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"314",314,"male",1973,43,"middle",1,"marriage","no",312,"경영관련 사무원",358,1,"서울"
"317",317,"male",2002,14,"young",0,NA,"no",NA,NA,NA,1,"서울"
"318",318,"male",1964,52,"middle",1,"marriage","no",261,"법률 전문가",400,1,"서울"
"321",321,"male",1947,69,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"323",323,"male",1976,40,"middle",1,"marriage","yes",941,"청소원 및 환경 미화원",NA,1,"서울"
"325",325,"male",2008,8,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"328",328,"male",1976,40,"middle",1,"marriage","no",245,"치료사 및 의료기사",325,2,"수도권(인천/경기)"
"330",330,"male",2004,12,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"331",331,"male",2007,9,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"332",332,"male",1933,83,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"334",334,"male",1958,58,"middle",1,"marriage","yes",873,"자동차 운전원",162,1,"서울"
"336",336,"male",1988,28,"young",5,NA,"yes",245,"치료사 및 의료기사",209.9,1,"서울"
"337",337,"male",1977,39,"middle",1,"marriage","no",441,"주방장 및 조리사",324,7,"광주/전남/전북/제주도"
"341",341,"male",2011,5,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"342",342,"male",1935,81,"old",2,NA,"no",NA,NA,NA,1,"서울"
"343",343,"male",1985,31,"middle",1,"marriage","no",312,"경영관련 사무원",185,5,"대전/충남"
"345",345,"male",1979,37,"middle",1,"marriage","no",222,"정보시스템 개발 전문가",NA,2,"수도권(인천/경기)"
"347",347,"male",2007,9,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"350",350,"male",1944,72,"old",1,"marriage","yes",873,"자동차 운전원",NA,1,"서울"
"352",352,"male",1944,72,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"354",354,"male",1963,53,"middle",1,"marriage","no",312,"경영관련 사무원",426.7,1,"서울"
"356",356,"male",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"357",357,"male",1946,70,"old",1,"marriage","no",942,"경비원 및 검표원",139,1,"서울"
"359",359,"male",1932,84,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"361",361,"male",1935,81,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"363",363,"male",1977,39,"middle",1,"marriage","yes",510,"영업 종사자",429.7,2,"수도권(인천/경기)"
"365",365,"male",2006,10,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"368",368,"male",1960,56,"middle",5,NA,"no",910,"건설 및 광업 단순 종사원",NA,1,"서울"
"370",370,"male",1965,51,"middle",1,"marriage","no",762,"전기공",NA,1,"서울"
"376",376,"male",1938,78,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"378",378,"male",1954,62,"old",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"380",380,"male",1984,32,"middle",5,NA,"no",910,"건설 및 광업 단순 종사원",NA,1,"서울"
"384",384,"male",1968,48,"middle",5,NA,"yes",952,"음식관련 단순 종사원",85.42,1,"서울"
"385",385,"male",1965,51,"middle",1,"marriage","yes",999,"기타 서비스관련 단순 종사원",NA,1,"서울"
"388",388,"male",1995,21,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"390",390,"male",1995,21,"young",5,NA,"no",952,"음식관련 단순 종사원",92,1,"서울"
"391",391,"male",1996,20,"young",5,NA,"no",NA,NA,NA,1,"서울"
"393",393,"male",1978,38,"middle",1,"marriage","yes",761,"전기 및 전자기기 설치 및 수리원",NA,1,"서울"
"397",397,"male",1974,42,"middle",1,"marriage","no",221,"컴퓨터 하드웨어 및 통신공학 전문가",468.3,1,"서울"
"401",401,"male",1944,72,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"403",403,"male",1952,64,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"406",406,"male",1983,33,"middle",1,"marriage","yes",761,"전기 및 전자기기 설치 및 수리원",300,5,"대전/충남"
"407",407,"male",2010,6,"young",0,NA,"no",NA,NA,NA,5,"대전/충남"
"409",409,"male",1938,78,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"414",414,"male",1959,57,"middle",1,"marriage","no",873,"자동차 운전원",NA,1,"서울"
"416",416,"male",1940,76,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"417",417,"male",1953,63,"old",1,"marriage","no",942,"경비원 및 검표원",150,1,"서울"
"419",419,"male",1932,84,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"421",421,"male",1960,56,"middle",1,"marriage","yes",942,"경비원 및 검표원",166,1,"서울"
"424",424,"male",1963,53,"middle",1,"marriage","yes",873,"자동차 운전원",NA,6,"강원/충북"
"428",428,"male",1977,39,"middle",1,"marriage","yes",411,"경찰 소방 및 교도 관련 종사자",387.5,1,"서울"
"434",434,"male",2008,8,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"435",435,"male",1980,36,"middle",1,"marriage","no",510,"영업 종사자",375,7,"광주/전남/전북/제주도"
"436",436,"male",2010,6,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"437",437,"male",2013,3,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"438",438,"male",1948,68,"old",1,"marriage","yes",772,"건설관련 기능 종사자",220,1,"서울"
"441",441,"male",1977,39,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"442",442,"male",1973,43,"middle",1,"marriage","yes",231,"건축 및 토목 공학 기술자 및 시험원",330,1,"서울"
"443",443,"male",2008,8,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"444",444,"male",1968,48,"middle",1,"marriage","no",721,"섬유 및 가죽 관련 기능 종사자",NA,1,"서울"
"446",446,"male",1998,18,"young",0,NA,"no",NA,NA,NA,1,"서울"
"448",448,"male",1938,78,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"450",450,"male",1970,46,"middle",5,NA,"no",799,"기타 기능관련 종사자",NA,1,"서울"
"451",451,"male",1973,43,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"452",452,"male",1959,57,"middle",1,"marriage","no",910,"건설 및 광업 단순 종사원",150,1,"서울"
"456",456,"male",1961,55,"middle",1,"marriage","yes",510,"영업 종사자",267,1,"서울"
"459",459,"male",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"460",460,"male",1939,77,"old",1,"marriage","yes",942,"경비원 및 검표원",NA,1,"서울"
"462",462,"male",1945,71,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"464",464,"male",1972,44,"middle",1,"marriage","no",873,"자동차 운전원",185,1,"서울"
"466",466,"male",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"468",468,"male",1978,38,"middle",1,"marriage","no",510,"영업 종사자",411.7,1,"서울"
"470",470,"male",1973,43,"middle",1,"marriage","no",254,"문리 기술 및 예능 강사",266,1,"서울"
"473",473,"male",2010,6,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"474",474,"male",1936,80,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"478",478,"male",1947,69,"old",1,"marriage","yes",942,"경비원 및 검표원",150,2,"수도권(인천/경기)"
"480",480,"male",1973,43,"middle",2,NA,"yes",743,"용접원",170,2,"수도권(인천/경기)"
"481",481,"male",2002,14,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"483",483,"male",1936,80,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"486",486,"male",1991,25,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"487",487,"male",1959,57,"middle",3,"divorce","no",NA,NA,NA,1,"서울"
"488",488,"male",1955,61,"old",1,"marriage","yes",251,"대학 교수 및 강사",70,1,"서울"
"490",490,"male",1989,27,"young",5,NA,"yes",753,"기계장비 설치 및 정비원",270,3,"부산/경남/울산"
"491",491,"male",1957,59,"middle",3,"divorce","no",530,"방문 노점 및 통신 판매 관련 종사자",NA,1,"서울"
"492",492,"male",1989,27,"young",5,NA,"no",930,"제조관련 단순 종사원",164.7,1,"서울"
"494",494,"male",1952,64,"old",3,"divorce","no",942,"경비원 및 검표원",170,1,"서울"
"495",495,"male",1960,56,"middle",1,"marriage","no",999,"기타 서비스관련 단순 종사원",NA,1,"서울"
"499",499,"male",1972,44,"middle",1,"marriage","yes",780,"영상 및 통신 장비 관련 설치 및 수리원",419.16,1,"서울"
"501",501,"male",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"505",505,"male",1982,34,"middle",5,NA,"yes",510,"영업 종사자",233,1,"서울"
"506",506,"male",1973,43,"middle",1,"marriage","no",235,"전기 전자 및 기계 공학 기술자 및 시험원",800,1,"서울"
"507",507,"male",1950,66,"old",1,"marriage","yes",873,"자동차 운전원",NA,1,"서울"
"509",509,"male",1982,34,"middle",5,NA,"yes",252,"학교 교사",333,1,"서울"
"511",511,"male",1934,82,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"513",513,"male",1938,78,"old",2,NA,"no",NA,NA,NA,1,"서울"
"517",517,"male",1954,62,"old",2,NA,"no",NA,NA,NA,1,"서울"
"519",519,"male",1997,19,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"520",520,"male",1965,51,"middle",1,"marriage","yes",772,"건설관련 기능 종사자",NA,1,"서울"
"525",525,"male",1970,46,"middle",1,"marriage","yes",873,"자동차 운전원",280,1,"서울"
"531",531,"male",1971,45,"middle",2,NA,"no",149,"기타 건설 전기 및 생산 관련 관리자",138,1,"서울"
"532",532,"male",1997,19,"young",0,NA,"no",NA,NA,NA,1,"서울"
"533",533,"male",1932,84,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"535",535,"male",1957,59,"middle",1,"marriage","no",442,"음식서비스 종사자",NA,1,"서울"
"538",538,"male",1983,33,"middle",5,NA,"no",442,"음식서비스 종사자",NA,1,"서울"
"539",539,"male",1975,41,"middle",1,"marriage","no",246,"보건의료관련 종사자",311,2,"수도권(인천/경기)"
"541",541,"male",2012,4,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"542",542,"male",1962,54,"middle",1,"marriage","no",891,"목재 및 종이 관련 기계조작원",250,1,"서울"
"544",544,"male",1990,26,"young",5,NA,"no",NA,NA,NA,1,"서울"
"545",545,"male",1952,64,"old",1,"marriage","no",442,"음식서비스 종사자",NA,1,"서울"
"547",547,"male",1981,35,"middle",5,NA,"no",246,"보건의료관련 종사자",506.66,1,"서울"
"549",549,"male",1952,64,"old",3,"divorce","no",NA,NA,NA,1,"서울"
"550",550,"male",1929,87,"old",2,NA,"no",NA,NA,NA,1,"서울"
"553",553,"male",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"555",555,"male",1960,56,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"556",556,"male",1966,50,"middle",1,"marriage","no",823,"세탁관련 기계조작원",NA,1,"서울"
"560",560,"male",1938,78,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"562",562,"male",1960,56,"middle",1,"marriage","no",875,"건설 및 채굴 기계운전원",NA,1,"서울"
"565",565,"male",1961,55,"middle",1,"marriage","yes",159,"기타 판매 및 고객서비스 관리자",NA,1,"서울"
"567",567,"male",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"569",569,"male",1964,52,"middle",1,"marriage","yes",248,"종교관련 종사자",230,1,"서울"
"572",572,"male",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"574",574,"male",1936,80,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"578",578,"male",1974,42,"middle",1,"marriage","no",773,"건축마감관련 기능 종사자",200,2,"수도권(인천/경기)"
"581",581,"male",1940,76,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"583",583,"male",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"584",584,"male",1968,48,"middle",3,"divorce","yes",521,"매장 판매 종사자",NA,1,"서울"
"585",585,"male",1955,61,"old",1,"marriage","yes",874,"물품이동 장비 조작원",NA,1,"서울"
"587",587,"male",1993,23,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"588",588,"male",1961,55,"middle",1,"marriage","no",892,"인쇄 및 사진현상 관련 기계조작원",310.5,1,"서울"
"590",590,"male",1938,78,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"592",592,"male",1979,37,"middle",1,"marriage","no",312,"경영관련 사무원",291.7,1,"서울"
"594",594,"male",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"595",595,"male",1945,71,"old",1,"marriage","yes",254,"문리 기술 및 예능 강사",NA,1,"서울"
"600",600,"male",2001,15,"young",0,NA,"no",NA,NA,NA,1,"서울"
"601",601,"male",1926,90,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"603",603,"male",1944,72,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"605",605,"male",1978,38,"middle",5,NA,"no",320,"금융 및 보험관련 사무 종사자",600,1,"서울"
"607",607,"male",1981,35,"middle",5,NA,"no",442,"음식서비스 종사자",68,1,"서울"
"609",609,"male",1973,43,"middle",5,NA,"yes",221,"컴퓨터 하드웨어 및 통신공학 전문가",365.3,1,"서울"
"610",610,"male",1943,73,"old",2,NA,"no",NA,NA,NA,1,"서울"
"611",611,"male",1970,46,"middle",1,"marriage","yes",873,"자동차 운전원",280,1,"서울"
"613",613,"male",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"614",614,"male",1930,86,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"617",617,"male",1979,37,"middle",5,NA,"yes",721,"섬유 및 가죽 관련 기능 종사자",NA,1,"서울"
"618",618,"male",1942,74,"old",1,"marriage","yes",241,"의료진료 전문가",NA,1,"서울"
"620",620,"male",1947,69,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"623",623,"male",1963,53,"middle",1,"marriage","yes",773,"건축마감관련 기능 종사자",NA,1,"서울"
"625",625,"male",1937,79,"old",1,"marriage","yes",254,"문리 기술 및 예능 강사",20,1,"서울"
"627",627,"male",1937,79,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"629",629,"male",1936,80,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
