"","X","sex","birth","age","ageg","marriage","group_marriage","religion","code_job","job","income","code_region","region"
"85",85,"female",1998,18,"young",0,NA,"no",NA,NA,NA,1,"서울"
"87",87,"female",1958,58,"middle",1,"marriage","yes",442,"음식서비스 종사자",100,1,"서울"
"90",90,"female",1970,46,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"94",94,"female",1975,41,"middle",1,"marriage","yes",521,"매장 판매 종사자",30,1,"서울"
"96",96,"female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"98",98,"female",1956,60,"old",1,"marriage","yes",991,"농립어업관련 단순 종사원",NA,5,"대전/충남"
"100",100,"female",1938,78,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"101",101,"female",1962,54,"middle",3,"divorce","yes",422,"이 미용 및 관련 서비스 종사자",156.4,1,"서울"
"102",102,"female",1991,25,"young",5,NA,"yes",422,"이 미용 및 관련 서비스 종사자",100,1,"서울"
"104",104,"female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"105",105,"female",1989,27,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"106",106,"female",1995,21,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"107",107,"female",1997,19,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"108",108,"female",1982,34,"middle",5,NA,"yes",313,"회계 및 경리 사무원",200,5,"대전/충남"
"109",109,"female",1985,31,"middle",5,NA,"yes",710,"식품가공관련 기능 종사자",216.66,5,"대전/충남"
"110",110,"female",1957,59,"middle",4,NA,"no",999,"기타 서비스관련 단순 종사원",291.1,5,"대전/충남"
"111",111,"female",1982,34,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"112",112,"female",1986,30,"middle",5,NA,"no",522,"상품 대여 종사자",120,1,"서울"
"115",115,"female",2012,4,"young",0,NA,"no",NA,NA,NA,1,"서울"
"116",116,"female",1955,61,"old",4,NA,"no",NA,NA,NA,1,"서울"
"119",119,"female",1956,60,"old",1,"marriage","yes",521,"매장 판매 종사자",161,1,"서울"
"122",122,"female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"124",124,"female",1983,33,"middle",5,NA,"yes",313,"회계 및 경리 사무원",158,1,"서울"
"127",127,"female",1971,45,"middle",1,"marriage","no",254,"문리 기술 및 예능 강사",20,1,"서울"
"129",129,"female",1999,17,"young",0,NA,"no",NA,NA,NA,1,"서울"
"130",130,"female",1928,88,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"131",131,"female",1946,70,"old",2,NA,"no",NA,NA,NA,1,"서울"
"134",134,"female",1968,48,"middle",1,"marriage","yes",721,"섬유 및 가죽 관련 기능 종사자",120,1,"서울"
"135",135,"female",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"136",136,"female",2001,15,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"138",138,"female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"141",141,"female",1985,31,"middle",5,NA,"yes",953,"판매관련 단순 종사원",160,1,"서울"
"143",143,"female",1960,56,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",110,1,"서울"
"145",145,"female",1989,27,"young",5,NA,"yes",521,"매장 판매 종사자",120,1,"서울"
"146",146,"female",1986,30,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"149",149,"female",1992,24,"young",5,NA,"no",392,"여행 안내 및 접수 사무원",122,2,"수도권(인천/경기)"
"150",150,"female",1996,20,"young",5,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"151",151,"female",1933,83,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"153",153,"female",1994,22,"young",5,NA,"no",NA,NA,NA,1,"서울"
"154",154,"female",1941,75,"old",2,NA,"no",NA,NA,NA,1,"서울"
"156",156,"female",1937,79,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"158",158,"female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"161",161,"female",2004,12,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"163",163,"female",1941,75,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"165",165,"female",1940,76,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"167",167,"female",1960,56,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"170",170,"female",1953,63,"old",1,"marriage","no",951,"가사 및 육아 도우미",158,1,"서울"
"172",172,"female",1963,53,"middle",1,"marriage","yes",922,"배달원",85,1,"서울"
"173",173,"female",1989,27,"young",5,NA,"yes",285,"디자이너",172,1,"서울"
"175",175,"female",1961,55,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"177",177,"female",1990,26,"young",5,NA,"no",312,"경영관련 사무원",200,1,"서울"
"179",179,"female",1955,61,"old",1,"marriage","no",421,"의료 복지 관련 서비스 종사자",100.6,1,"서울"
"180",180,"female",1989,27,"young",5,NA,"no",243,"간호사",191.7,1,"서울"
"182",182,"female",1977,39,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"183",183,"female",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"186",186,"female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"188",188,"female",1954,62,"old",1,"marriage","yes",521,"매장 판매 종사자",NA,1,"서울"
"190",190,"female",1982,34,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"191",191,"female",2014,2,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"193",193,"female",1949,67,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"196",196,"female",1980,36,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"198",198,"female",1974,42,"middle",1,"marriage","no",252,"학교 교사",400,1,"서울"
"199",199,"female",2006,10,"young",0,NA,"no",NA,NA,NA,1,"서울"
"200",200,"female",2008,8,"young",0,NA,"no",NA,NA,NA,1,"서울"
"201",201,"female",2011,5,"young",0,NA,"no",NA,NA,NA,1,"서울"
"202",202,"female",1957,59,"middle",3,"divorce","yes",421,"의료 복지 관련 서비스 종사자",106.5,1,"서울"
"203",203,"female",1943,73,"old",2,NA,"yes",941,"청소원 및 환경 미화원",57,1,"서울"
"206",206,"female",1966,50,"middle",1,"marriage","yes",510,"영업 종사자",625,1,"서울"
"207",207,"female",1991,25,"young",5,NA,"yes",254,"문리 기술 및 예능 강사",180,1,"서울"
"208",208,"female",1992,24,"young",1,"marriage","yes",NA,NA,NA,1,"서울"
"209",209,"female",1943,73,"old",2,NA,"no",NA,NA,NA,1,"서울"
"210",210,"female",1924,92,"old",2,NA,"no",NA,NA,NA,1,"서울"
"211",211,"female",1971,45,"middle",1,"marriage","yes",259,"기타 교육 전문가",109.7,1,"서울"
"212",212,"female",1998,18,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"213",213,"female",1999,17,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"216",216,"female",1958,58,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",123.2,1,"서울"
"219",219,"female",1984,32,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"222",222,"female",1968,48,"middle",1,"marriage","yes",399,"고객 상담 및 기타 사무원",60,1,"서울"
"225",225,"female",1973,43,"middle",1,"marriage","no",930,"제조관련 단순 종사원",131.8,1,"서울"
"226",226,"female",2003,13,"young",0,NA,"no",NA,NA,NA,1,"서울"
"229",229,"female",1959,57,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"230",230,"female",1984,32,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"233",233,"female",1960,56,"middle",1,"marriage","yes",521,"매장 판매 종사자",120,1,"서울"
"236",236,"female",1960,56,"middle",4,NA,"yes",951,"가사 및 육아 도우미",108,1,"서울"
"238",238,"female",1943,73,"old",4,NA,"yes",941,"청소원 및 환경 미화원",73,1,"서울"
"239",239,"female",1971,45,"middle",5,NA,"no",422,"이 미용 및 관련 서비스 종사자",234,1,"서울"
"241",241,"female",1965,51,"middle",1,"marriage","no",930,"제조관련 단순 종사원",NA,1,"서울"
"243",243,"female",1988,28,"young",5,NA,"no",NA,NA,NA,1,"서울"
"245",245,"female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"248",248,"female",1977,39,"middle",1,"marriage","no",314,"비서 및 사무 보조원",140,1,"서울"
"249",249,"female",1939,77,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"250",250,"female",2006,10,"young",0,NA,"no",NA,NA,NA,1,"서울"
"252",252,"female",1971,45,"middle",1,"marriage","no",312,"경영관련 사무원",275,2,"수도권(인천/경기)"
"256",256,"female",1958,58,"middle",3,"divorce","yes",521,"매장 판매 종사자",190,1,"서울"
"259",259,"female",1942,74,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"261",261,"female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"262",262,"female",1953,63,"old",2,NA,"yes",951,"가사 및 육아 도우미",NA,1,"서울"
"265",265,"female",1979,37,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"268",268,"female",1946,70,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"270",270,"female",1934,82,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"272",272,"female",1965,51,"middle",1,"marriage","no",930,"제조관련 단순 종사원",114.2,1,"서울"
"274",274,"female",1958,58,"middle",1,"marriage","yes",422,"이 미용 및 관련 서비스 종사자",NA,1,"서울"
"275",275,"female",1983,33,"middle",1,"marriage","no",320,"금융 및 보험관련 사무 종사자",NA,2,"수도권(인천/경기)"
"279",279,"female",1984,32,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"281",281,"female",2013,3,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"283",283,"female",1982,34,"middle",5,NA,"yes",289,"매니저 및 기타 문화 예술 관련 종사자",194.3,1,"서울"
"284",284,"female",1957,59,"middle",2,NA,"yes",951,"가사 및 육아 도우미",NA,1,"서울"
"285",285,"female",1979,37,"middle",1,"marriage","no",320,"금융 및 보험관련 사무 종사자",130,1,"서울"
"289",289,"female",1940,76,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"291",291,"female",1964,52,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",192,1,"서울"
"292",292,"female",1989,27,"young",5,NA,"yes",254,"문리 기술 및 예능 강사",583.3,1,"서울"
"293",293,"female",1990,26,"young",5,NA,"yes",243,"간호사",260,1,"서울"
"296",296,"female",1950,66,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"297",297,"female",1980,36,"middle",5,NA,"yes",NA,NA,NA,1,"서울"
"299",299,"female",1976,40,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"300",300,"female",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"301",301,"female",2005,11,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"302",302,"female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"304",304,"female",1962,54,"middle",1,"marriage","yes",952,"음식관련 단순 종사원",126,1,"서울"
"305",305,"female",1986,30,"middle",5,NA,"yes",243,"간호사",233,1,"서울"
"306",306,"female",1989,27,"young",5,NA,"yes",289,"매니저 및 기타 문화 예술 관련 종사자",166.7,1,"서울"
"308",308,"female",1968,48,"middle",1,"marriage","no",422,"이 미용 및 관련 서비스 종사자",NA,1,"서울"
"309",309,"female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"312",312,"female",1976,40,"middle",1,"marriage","yes",313,"회계 및 경리 사무원",140,1,"서울"
"315",315,"female",1973,43,"middle",1,"marriage","no",313,"회계 및 경리 사무원",110,1,"서울"
"316",316,"female",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"319",319,"female",1962,54,"middle",1,"marriage","yes",247,"사회복지관련 종사자",50,1,"서울"
"320",320,"female",1991,25,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"322",322,"female",1958,58,"middle",1,"marriage","yes",422,"이 미용 및 관련 서비스 종사자",NA,1,"서울"
"324",324,"female",1981,35,"middle",1,"marriage","yes",254,"문리 기술 및 예능 강사",120,1,"서울"
"326",326,"female",1951,65,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"327",327,"female",1933,83,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"329",329,"female",1977,39,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"333",333,"female",1936,80,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"335",335,"female",1962,54,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"338",338,"female",1977,39,"middle",1,"marriage","no",246,"보건의료관련 종사자",162,7,"광주/전남/전북/제주도"
"339",339,"female",2007,9,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"340",340,"female",2009,7,"young",0,NA,"no",NA,NA,NA,7,"광주/전남/전북/제주도"
"344",344,"female",1982,34,"middle",1,"marriage","no",864,"전기 전자 부품 및 제품 조립원",320,5,"대전/충남"
"346",346,"female",1979,37,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"348",348,"female",2013,3,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"349",349,"female",1946,70,"old",2,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"351",351,"female",1952,64,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"353",353,"female",1952,64,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"355",355,"female",1968,48,"middle",1,"marriage","no",243,"간호사",303.9,1,"서울"
"358",358,"female",1948,68,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"360",360,"female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"362",362,"female",1942,74,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"364",364,"female",1979,37,"middle",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"366",366,"female",2008,8,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"367",367,"female",1930,86,"old",2,NA,"no",NA,NA,NA,1,"서울"
"369",369,"female",1930,86,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"371",371,"female",1970,46,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"372",372,"female",1995,21,"young",5,NA,"no",NA,NA,NA,1,"서울"
"373",373,"female",2001,15,"young",0,NA,"no",NA,NA,NA,1,"서울"
"374",374,"female",1940,76,"old",2,NA,"no",NA,NA,NA,1,"서울"
"375",375,"female",1943,73,"old",2,NA,"yes",999,"기타 서비스관련 단순 종사원",20,1,"서울"
"377",377,"female",1946,70,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"379",379,"female",1958,58,"middle",1,"marriage","no",521,"매장 판매 종사자",NA,1,"서울"
"381",381,"female",1937,79,"old",2,NA,"yes",930,"제조관련 단순 종사원",NA,1,"서울"
"382",382,"female",1962,54,"middle",2,NA,"yes",NA,NA,NA,1,"서울"
"383",383,"female",1941,75,"old",2,NA,"yes",930,"제조관련 단순 종사원",85.42,1,"서울"
"386",386,"female",1967,49,"middle",1,"marriage","yes",999,"기타 서비스관련 단순 종사원",NA,1,"서울"
"387",387,"female",1992,24,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"389",389,"female",1967,49,"middle",3,"divorce","no",951,"가사 및 육아 도우미",107,1,"서울"
"392",392,"female",1953,63,"old",2,NA,"yes",951,"가사 및 육아 도우미",76.8,1,"서울"
"394",394,"female",1978,38,"middle",1,"marriage","yes",313,"회계 및 경리 사무원",193.2,1,"서울"
"395",395,"female",2008,8,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"396",396,"female",2010,6,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"398",398,"female",1979,37,"middle",1,"marriage","yes",313,"회계 및 경리 사무원",219.1,1,"서울"
"399",399,"female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"400",400,"female",1954,62,"old",2,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"402",402,"female",1944,72,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"404",404,"female",1956,60,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"405",405,"female",1984,32,"middle",1,"marriage","no",NA,NA,NA,5,"대전/충남"
"408",408,"female",2013,3,"young",0,NA,"no",NA,NA,NA,5,"대전/충남"
"410",410,"female",1948,68,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"411",411,"female",1942,74,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"412",412,"female",1965,51,"middle",1,"marriage","no",530,"방문 노점 및 통신 판매 관련 종사자",240,1,"서울"
"413",413,"female",1994,22,"young",5,NA,"no",521,"매장 판매 종사자",NA,1,"서울"
"415",415,"female",1941,75,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"418",418,"female",1959,57,"middle",1,"marriage","no",952,"음식관련 단순 종사원",NA,1,"서울"
"420",420,"female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"422",422,"female",1963,53,"middle",1,"marriage","yes",951,"가사 및 육아 도우미",100,1,"서울"
"423",423,"female",1990,26,"young",5,NA,"no",NA,NA,NA,1,"서울"
"425",425,"female",1990,26,"young",1,"marriage","yes",NA,NA,NA,6,"강원/충북"
"426",426,"female",2011,5,"young",0,NA,"yes",NA,NA,NA,6,"강원/충북"
"427",427,"female",2013,3,"young",0,NA,"yes",NA,NA,NA,6,"강원/충북"
"429",429,"female",1978,38,"middle",1,"marriage","yes",243,"간호사",436.7,1,"서울"
"430",430,"female",1980,36,"middle",1,"marriage","no",NA,NA,NA,7,"광주/전남/전북/제주도"
"431",431,"female",2006,10,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"432",432,"female",1950,66,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"433",433,"female",1983,33,"middle",5,NA,"yes",313,"회계 및 경리 사무원",183.3,1,"서울"
"439",439,"female",1950,66,"old",1,"marriage","yes",941,"청소원 및 환경 미화원",30,1,"서울"
"440",440,"female",1976,40,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"445",445,"female",1966,50,"middle",1,"marriage","no",721,"섬유 및 가죽 관련 기능 종사자",310,1,"서울"
"447",447,"female",2000,16,"young",0,NA,"no",NA,NA,NA,1,"서울"
"449",449,"female",1946,70,"old",1,"marriage","no",951,"가사 및 육아 도우미",150,1,"서울"
"453",453,"female",1964,52,"middle",1,"marriage","no",951,"가사 및 육아 도우미",100,1,"서울"
"454",454,"female",1986,30,"middle",5,NA,"no",313,"회계 및 경리 사무원",140,1,"서울"
"455",455,"female",1988,28,"young",5,NA,"no",NA,NA,NA,1,"서울"
"457",457,"female",1962,54,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"458",458,"female",1997,19,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"461",461,"female",1940,76,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"463",463,"female",1949,67,"old",1,"marriage","no",NA,NA,NA,1,"서울"
"465",465,"female",1972,44,"middle",1,"marriage","no",NA,NA,NA,1,"서울"
"467",467,"female",1979,37,"middle",1,"marriage","no",285,"디자이너",363.3,1,"서울"
"469",469,"female",2010,6,"young",0,NA,"no",NA,NA,NA,1,"서울"
"471",471,"female",1969,47,"middle",1,"marriage","no",259,"기타 교육 전문가",408,1,"서울"
"472",472,"female",2007,9,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"475",475,"female",1946,70,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"476",476,"female",1977,39,"middle",3,"divorce","yes",313,"회계 및 경리 사무원",150,2,"수도권(인천/경기)"
"477",477,"female",2008,8,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"479",479,"female",1949,67,"old",1,"marriage","yes",NA,NA,NA,2,"수도권(인천/경기)"
"482",482,"female",2004,12,"young",0,NA,"yes",NA,NA,NA,2,"수도권(인천/경기)"
"484",484,"female",1957,59,"middle",3,"divorce","yes",722,"의복 제조관련 기능 종사자",162,1,"서울"
"485",485,"female",1987,29,"young",5,NA,"yes",399,"고객 상담 및 기타 사무원",170,1,"서울"
"489",489,"female",1960,56,"middle",1,"marriage","yes",NA,NA,NA,1,"서울"
"493",493,"female",1934,82,"old",2,NA,"no",NA,NA,NA,1,"서울"
"496",496,"female",1960,56,"middle",1,"marriage","no",999,"기타 서비스관련 단순 종사원",NA,1,"서울"
"497",497,"female",1988,28,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"498",498,"female",1993,23,"young",5,NA,"yes",521,"매장 판매 종사자",120,1,"서울"
"500",500,"female",1973,43,"middle",1,"marriage","yes",259,"기타 교육 전문가",204.66,1,"서울"
"502",502,"female",1944,72,"old",2,NA,"yes",NA,NA,NA,1,"서울"
"503",503,"female",1971,45,"middle",5,NA,"yes",281,"작가 기자 및 출판 전문가",NA,1,"서울"
"504",504,"female",1976,40,"middle",1,"marriage","no",312,"경영관련 사무원",433.3,1,"서울"
"508",508,"female",1953,63,"old",1,"marriage","yes",941,"청소원 및 환경 미화원",96,1,"서울"
"510",510,"female",1937,79,"old",3,"divorce","yes",NA,NA,NA,1,"서울"
"512",512,"female",1934,82,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"514",514,"female",1963,53,"middle",3,"divorce","yes",442,"음식서비스 종사자",220,1,"서울"
"515",515,"female",1992,24,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"516",516,"female",1995,21,"young",5,NA,"yes",311,"행정 사무원",218,1,"서울"
"518",518,"female",1994,22,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"521",521,"female",1969,47,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",170,1,"서울"
"522",522,"female",1992,24,"young",5,NA,"yes",NA,NA,NA,1,"서울"
"523",523,"female",1993,23,"young",5,NA,"yes",422,"이 미용 및 관련 서비스 종사자",120,1,"서울"
"524",524,"female",2000,16,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"526",526,"female",1971,45,"middle",1,"marriage","yes",930,"제조관련 단순 종사원",193,1,"서울"
"527",527,"female",2001,15,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"528",528,"female",2003,13,"young",0,NA,"yes",NA,NA,NA,1,"서울"
"529",529,"female",1944,72,"old",3,"divorce","yes",941,"청소원 및 환경 미화원",17,1,"서울"
"530",530,"female",1950,66,"old",3,"divorce","yes",930,"제조관련 단순 종사원",80.4,1,"서울"
"534",534,"female",1936,80,"old",1,"marriage","yes",NA,NA,NA,1,"서울"
"536",536,"female",1958,58,"middle",1,"marriage","yes",441,"주방장 및 조리사",NA,1,"서울"
"537",537,"female",1979,37,"middle",1,"marriage","no",NA,NA,NA,2,"수도권(인천/경기)"
"540",540,"female",2009,7,"young",0,NA,"no",NA,NA,NA,2,"수도권(인천/경기)"
"543",543,"female",1964,52,"middle",1,"marriage","no",721,"섬유 및 가죽 관련 기능 종사자",98.33,1,"서울"
"546",546,"female",1957,59,"middle",1,"marriage","no",442,"음식서비스 종사자",NA,1,"서울"
"548",548,"female",1984,32,"middle",5,NA,"no",320,"금융 및 보험관련 사무 종사자",254.16,1,"서울"
"551",551,"female",1931,85,"old",2,NA,"no",NA,NA,NA,1,"서울"
"552",552,"female",1960,56,"middle",5,NA,"no",NA,NA,NA,1,"서울"
"554",554,"female",1936,80,"old",1,"marriage","no",NA,NA,NA,1,"서울"
